author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
CROCUS ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307334344/,Москва,rent,flat,3,6,3,110.0,750000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/304239996/,Москва,rent,flat,6,6,2,165.0,580000,0,Беговой, 3-я Ямского Поля,9,Белорусская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305209775/,Москва,rent,flat,6,6,2,130.0,580000,0,Беговой, 3-я Ямского Поля,9,Белорусская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303773323/,Москва,rent,flat,4,14,4,266.0,550000,0,Хамовники,2-я Фрунзенская ,12,Фрунзенская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300466117/,Москва,rent,flat,6,6,4,350.0,750000,0,Якиманка, Большая Полянка,61С2,Добрынинская
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/281836793/,Москва,rent,flat,7,12,3,110.0,300000,0,Якиманка, Серафимовича,2,Боровицкая
BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/306977655/,Москва,rent,flat,9,34,3,84.0,380000,0,Дорогомилово,Поклонная ,9,Поклонная
BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/306253024/,Москва,rent,flat,5,7,4,102.0,300000,0,Красносельский,переулок Даев,8,Сухаревская
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/303920048/,Москва,rent,flat,2,5,2,85.0,750000,0,Хамовники,Пречистенская набережная,43,Кропоткинская
Life Style,real_estate_agent,https://www.cian.ru/rent/flat/306835109/,Москва,rent,flat,6,13,3,95.0,430000,0,Тверской, Фадеева,4А,Новослободская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303214797/,Москва,rent,flat,4,7,4,150.0,550000,0,Пресненский,Хлыновский тупик,4,Арбатская
МЕЗОН,real_estate_agent,https://www.cian.ru/rent/flat/305008371/,Москва,rent,flat,1,12,2,95.0,300000,0,Пресненский, Спиридоновка,18,Пушкинская
Urban Heights Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/304647020/,Москва,rent,flat,39,78,3,120.0,320000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/301135622/,Москва,rent,flat,23,53,4,177.0,1800000,0,Раменки,Мосфильмовская ,8,Ломоносовский проспект
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307395361/,Москва,rent,flat,8,15,4,150.0,1200000,0,Хамовники,Трубецкая ,12,Фрунзенская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304595243/,Москва,rent,flat,3,15,3,150.0,484000,0,Хамовники,Саввинская набережная,9,Киевская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304924335/,Москва,rent,flat,3,9,4,135.0,350000,0,Тверской,1-я Тверская-Ямская ,28,Белорусская
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/301763924/,Москва,rent,flat,5,6,3,190.0,1388772,0,Хамовники,1-й Зачатьевский переулок,8С9,Кропоткинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303478823/,Москва,rent,flat,10,14,2,133.0,550000,0,Арбат, Новый Арбат,32,Смоленская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304862030/,Москва,rent,flat,3,6,3,145.0,1400000,0,Хамовники,Курсовой переулок,10/1,Кропоткинская
Дворянское гнездо,real_estate_agent,https://www.cian.ru/rent/flat/307255105/,Москва,rent,flat,5,7,4,150.0,300000,0,Арбат,Кривоарбатский переулок,16/22,Смоленская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305156115/,Москва,rent,flat,14,16,3,178.0,670000,0,Арбат, Новый Арбат,27,Смоленская
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306318868/,Москва,rent,flat,2,7,4,320.0,1900000,0,Хамовники,переулок Хилков,1,Кропоткинская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512091/,Москва,rent,flat,3,4,4,173.0,300000,0,Арбат,Староконюшенный переулок,36С2,Арбатская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306331374/,Москва,rent,flat,14,16,3,178.0,670000,0,Арбат, Новый Арбат,27,Смоленская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/297532435/,Москва,rent,flat,6,8,3,140.0,400000,0,Тверской,Тверская ,9,Охотный ряд
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305925023/,Москва,rent,flat,4,6,4,152.0,750000,0,Хамовники, Льва Толстого,23к1,Парк Культуры
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/298688609/,Москва,rent,flat,6,8,3,140.0,400000,0,Тверской,Тверская ,9,Охотный ряд
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303661107/,Москва,rent,flat,5,8,4,150.0,350000,0,Тверской,Тверская ,28к1,Маяковская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/278471453/,Москва,rent,flat,4,9,4,185.0,600000,0,Хамовники, Остоженка,25,Парк Культуры
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305607091/,Москва,rent,flat,3,6,4,150.0,420000,0,Тверской,Петровский бульвар,21,Трубная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305890606/,Москва,rent,flat,3,6,4,135.0,420000,0,Тверской,Петровский бульвар,21,Трубная
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302464439/,Москва,rent,flat,3,11,4,221.0,925848,0,Хамовники, Усачева,2С3,Фрунзенская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/296324199/,Москва,rent,flat,6,6,2,130.0,580000,0,Беговой, 3-я Ямского Поля,9,Белорусская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302998686/,Москва,rent,flat,3,5,3,180.0,430000,0,Басманный,Мясницкая ,24/7С2,Тургеневская
ID 114238856,realtor,https://www.cian.ru/rent/flat/307371198/,Москва,rent,flat,15,21,3,157.0,790000,0,Пресненский,2-я Звенигородская ,16,Улица 1905 года
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/306774051/,Москва,rent,flat,5,14,4,185.0,500000,0,Хамовники,Оболенский переулок,9К8,Фрунзенская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303299075/,Москва,rent,flat,3,5,3,180.0,430000,0,Басманный,Мясницкая ,24/7С2,Тургеневская
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307495950/,Москва,rent,flat,6,8,1,70.0,300000,0,Пресненский,Малый Патриарший переулок,3,Маяковская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/297714065/,Москва,rent,flat,7,16,3,195.0,450000,0,Арбат, Новый Арбат,27,Смоленская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306857841/,Москва,rent,flat,2,5,4,232.0,450000,0,Мещанский,Варсонофьевский переулок,4С1,Кузнецкий мост
НОТАБЕНЕ,real_estate_agent,https://www.cian.ru/rent/flat/273833378/,Москва,rent,flat,14,48,4,223.0,330000,0,Хорошево-Мневники,проспект Маршала Жукова,78,Народное Ополчение
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303627289/,Москва,rent,flat,10,17,3,120.0,330000,0,Даниловский, Серпуховский Вал,21к3,Шаболовская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305773252/,Москва,rent,flat,6,8,3,104.0,450000,0,Хамовники,Оболенский переулок,9К1,Фрунзенская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305203712/,Москва,rent,flat,4,9,4,185.0,600000,0,Хамовники, Остоженка,25,Парк Культуры
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/297812115/,Москва,rent,flat,5,6,4,305.0,1300000,0,Хамовники,Молочный переулок,1,Парк Культуры
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307389600/,Москва,rent,flat,6,8,2,51.0,300000,0,Якиманка,Софийская набережная,34,Новокузнецкая
capital city,real_estate_agent,https://www.cian.ru/rent/flat/307539372/,Москва,rent,flat,5,9,3,162.0,850000,0,Пресненский, Спиридоновка,15,Тверская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/293041539/,Москва,rent,flat,7,16,2,200.0,450000,0,Арбат, Новый Арбат,27,Смоленская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306753455/,Москва,rent,flat,9,10,3,78.0,340000,0,Дорогомилово,Кутузовский проспект,4/2,Киевская
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307491629/,Москва,rent,flat,11,41,3,92.0,450000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302359398/,Москва,rent,flat,50,75,2,82.0,330000,0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306771466/,Москва,rent,flat,5,14,4,185.0,500000,0,Хамовники,Оболенский переулок,9К8,Фрунзенская
