author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303661107/,Москва,rent,flat,5,8,4,150.0,350000,0,Тверской,Тверская ,28к1,Маяковская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294222832/,Москва,rent,flat,4,5,-1,700.0,3000000,0,Хамовники, Пречистенка,27,Парк Культуры
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305607091/,Москва,rent,flat,3,6,4,150.0,420000,0,Тверской,Петровский бульвар,21,Трубная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305890606/,Москва,rent,flat,3,6,4,135.0,420000,0,Тверской,Петровский бульвар,21,Трубная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307389600/,Москва,rent,flat,6,8,2,51.0,300000,0,Якиманка,Софийская набережная,34,Новокузнецкая
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/296324199/,Москва,rent,flat,6,6,2,130.0,580000,0,Беговой, 3-я Ямского Поля,9,Белорусская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305910646/,Москва,rent,flat,3,12,-1,330.0,900000,0,Войковский,Ленинградское шоссе,37к1,Водный стадион
Ашихмин и партнёры,real_estate_agent,https://www.cian.ru/rent/flat/292040154/,Москва,rent,flat,2,5,5,286.8,1964168,0,Хамовники,1-й Зачатьевский переулок,8С3,Кропоткинская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302998686/,Москва,rent,flat,3,5,3,180.0,430000,0,Басманный,Мясницкая ,24/7С2,Тургеневская
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/306774051/,Москва,rent,flat,5,14,4,185.0,500000,0,Хамовники,Оболенский переулок,9К8,Фрунзенская
Антон Черников,realtor,https://www.cian.ru/rent/flat/306734389/,Москва,rent,flat,50,78,3,117.5,450000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306026650/,Москва,rent,flat,2,12,-1,330.0,900000,0,Войковский,Ленинградское шоссе,37к1,Водный стадион
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303299075/,Москва,rent,flat,3,5,3,180.0,430000,0,Басманный,Мясницкая ,24/7С2,Тургеневская
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307216432/,Москва,rent,flat,15,25,5,230.0,410000,0,Раменки,Минская ,1ГК2,Ломоносовский проспект
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306911144/,Москва,rent,flat,7,8,5,161.0,400000,0,Хамовники,1-й Обыденский переулок,9/12,Кропоткинская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/297714065/,Москва,rent,flat,7,16,3,195.0,450000,0,Арбат, Новый Арбат,27,Смоленская
МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/304116420/,Москва,rent,flat,55,95,5,330.0,900000,0,Пресненский,набережная Пресненская,12,Деловой центр
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/300653255/,Москва,rent,flat,5,6,5,300.0,1300000,0,Хамовники,Молочный переулок,1,Парк Культуры
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303627289/,Москва,rent,flat,10,17,3,120.0,330000,0,Даниловский, Серпуховский Вал,21к3,Шаболовская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/293041539/,Москва,rent,flat,7,16,2,200.0,450000,0,Арбат, Новый Арбат,27,Смоленская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306857841/,Москва,rent,flat,2,5,4,232.0,450000,0,Мещанский,Варсонофьевский переулок,4С1,Кузнецкий мост
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303770521/,Москва,rent,flat,1,3,-1,328.0,500000,0,Покровское-Стрешнево,Береговая ,8К1,Стрешнево
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307414704/,Москва,rent,flat,8,14,4,93.0,350000,0,Раменки,проспект Генерала Дорохова,39к1Б,Минская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302359398/,Москва,rent,flat,50,75,2,82.0,330000,0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306753455/,Москва,rent,flat,9,10,3,78.0,340000,0,Дорогомилово,Кутузовский проспект,4/2,Киевская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307617760/,Москва,rent,flat,2,14,5,270.0,1851696,0,Хамовники,2-я Фрунзенская ,12,Фрунзенская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/297812115/,Москва,rent,flat,5,6,4,305.0,1300000,0,Хамовники,Молочный переулок,1,Парк Культуры
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307336780/,Москва,rent,flat,7,8,5,160.0,400000,0,Хамовники,1-й Обыденский переулок,9/12,Кропоткинская
Времена года,real_estate_agent,https://www.cian.ru/rent/flat/307492491/,Москва,rent,flat,3,13,3,134.5,350000,0,Замоскворечье,Мытная ,7с1,Серпуховская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303542314/,Москва,rent,flat,28,42,2,51.0,330000,0,Хорошевский,Ленинградский проспект,37/3,Аэропорт
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/296556608/,Москва,rent,flat,6,10,2,70.0,550000,0,Тверской, Фадеева,4А,Новослободская
Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307491629/,Москва,rent,flat,11,41,3,92.0,450000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306771466/,Москва,rent,flat,5,14,4,185.0,500000,0,Хамовники,Оболенский переулок,9К8,Фрунзенская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306476524/,Москва,rent,flat,5,5,3,175.0,350000,0,Академический, Дмитрия Ульянова,31,Академическая
FS PROPERTY,real_estate_agent,https://www.cian.ru/rent/flat/305724088/,Москва,rent,flat,6,6,-1,202.0,600000,0,Пресненский,Малая Бронная ,20С2,Пушкинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305024166/,Москва,rent,flat,5,7,5,224.0,480000,0,Тверской,3-я Тверская-Ямская ,25,Маяковская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304672867/,Москва,rent,flat,2,6,3,136.0,450000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302464439/,Москва,rent,flat,3,11,4,221.0,925848,0,Хамовники, Усачева,2С3,Фрунзенская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303930466/,Москва,rent,flat,6,10,4,132.0,450000,0,Тверской,Большая Грузинская ,69,Белорусская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306827953/,Москва,rent,flat,3,5,4,232.0,450000,0,Мещанский,Варсонофьевский переулок,4С1,Кузнецкий мост
Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307522257/,Москва,rent,flat,4,4,-1,155.0,306000,0,Басманный,переулок Лучников,7/4С3,Китай-город
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/302491159/,Москва,rent,flat,14,16,3,178.0,670000,0,Арбат, Новый Арбат,27,Смоленская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304615721/,Москва,rent,flat,1,5,-1,328.0,500000,0,Покровское-Стрешнево,Береговая ,8К1,Стрешнево
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/301033480/,Москва,rent,flat,4,4,5,390.0,1500000,0,Арбат, Арбат,32,Смоленская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303582689/,Москва,rent,flat,10,18,3,120.0,330000,0,Даниловский, Серпуховский Вал,21к3,Шаболовская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/304182290/,Москва,rent,flat,2,8,4,180.0,463000,0,Арбат,Гоголевский бульвар,29,Арбатская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512092/,Москва,rent,flat,6,6,5,270.0,500000,0,Хамовники,Малый Могильцевский переулок,4Б,Кропоткинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304578799/,Москва,rent,flat,2,8,4,180.0,463000,0,Арбат,Гоголевский бульвар,29,Арбатская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306389073/,Москва,rent,flat,5,5,4,125.0,390000,0,Мещанский,Варсонофьевский переулок,6,Кузнецкий мост
MC REALTY,real_estate_agent,https://www.cian.ru/rent/flat/204081503/,Москва,rent,flat,42,60,2,100.0,400000,0,Пресненский,набережная Пресненская,6с2,Деловой центр
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/307105629/,Москва,rent,flat,3,14,4,252.0,750000,0,Хамовники,2-я Фрунзенская ,12,Фрунзенская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302088578/,Москва,rent,flat,5,6,4,174.0,380000,0,Тверской,Воротниковский переулок,4,Пушкинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305607274/,Москва,rent,flat,56,75,2,90.0,380000,0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307322747/,Москва,rent,flat,3,8,3,115.0,350000,0,Мещанский,Большой Сухаревский переулок,11,Сухаревская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305371348/,Москва,rent,flat,3,13,4,252.0,750000,0,Хамовники,2-я Фрунзенская ,12,Фрунзенская
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307407810/,Москва,rent,flat,38,40,-1,260.0,450000,0,Хорошевский,Хорошевское шоссе,16к1,Беговая
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/297122819/,Москва,rent,flat,4,6,3,166.0,780000,0,Тверской,Дмитровский переулок,7,Театральная
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303870122/,Москва,rent,flat,4,6,5,225.0,550000,0,Хамовники,Староконюшенный переулок,5/14,Кропоткинская
ID 55045676,unknown,https://www.cian.ru/rent/flat/307085806/,Москва,rent,flat,2,7,3,90.0,525000,0,Таганский,Серебрянический переулок,8,Китай-город
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300035660/,Москва,rent,flat,4,6,3,160.0,788000,0,Тверской,Дмитровский переулок,7,Театральная
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306523092/,Москва,rent,flat,6,7,4,217.0,350000,0,Арбат,Малый Николопесковский переулок,4,Смоленская
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307402716/,Москва,rent,flat,9,20,3,95.0,350000,0,Пресненский,Мантулинская ,9к6,Москва-Сити
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/295726232/,Москва,rent,flat,4,9,4,204.0,1000000,0,Хамовники,Погодинская ,4,Фрунзенская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305607272/,Москва,rent,flat,50,75,2,82.0,350000,0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр
capital city,real_estate_agent,https://www.cian.ru/rent/flat/307539372/,Москва,rent,flat,5,9,3,162.0,850000,0,Пресненский, Спиридоновка,15,Тверская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305180624/,Москва,rent,flat,3,6,3,100.0,750000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307321914/,Москва,rent,flat,4,7,5,266.0,1300000,0,Якиманка,Лаврушинский переулок,11к1,Третьяковская
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/304879847/,Москва,rent,flat,8,10,3,110.0,450000,0,Хамовники, Ефремова,10с1к4/2,Фрунзенская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306183866/,Москва,rent,flat,4,7,5,266.0,1300000,0,Якиманка,Лаврушинский переулок,11к1,Третьяковская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306894580/,Москва,rent,flat,5,5,-1,450.0,1500000,0,Хамовники, Остоженка,7С1,Кропоткинская
Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/307363897/,Москва,rent,flat,8,34,3,102.0,650000,0,Дорогомилово,Поклонная ,9,Поклонная
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306635279/,Москва,rent,flat,2,5,3,90.0,350000,0,Тверской, Малая Дмитровка,8С1,Пушкинская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/298267483/,Москва,rent,flat,5,5,5,300.0,1300000,0,Хамовники,Молочный переулок,1,Парк Культуры
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307528936/,Москва,rent,flat,15,27,3,152.0,750000,0,Беговой,Верхняя ,20к1,Белорусская
Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/307602199/,Москва,rent,flat,9,10,4,160.0,450000,0,Тверской,Страстной бульвар,10к1,Пушкинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306149152/,Москва,rent,flat,2,7,4,320.0,1900000,0,Хамовники,переулок Хилков,1,Парк Культуры
capital city,real_estate_agent,https://www.cian.ru/rent/flat/307320053/,Москва,rent,flat,60,75,3,235.0,400000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/301110217/,Москва,rent,flat,5,9,3,160.0,850000,0,Пресненский, Спиридоновка,15,Тверская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/303932639/,Москва,rent,flat,5,9,3,156.0,850000,0,Пресненский, Спиридоновка,15,Тверская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307391015/,Москва,rent,flat,3,7,4,192.0,450000,0,Арбат,Кривоарбатский переулок,16/22,Смоленская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305209776/,Москва,rent,flat,2,5,3,82.0,440000,0,Таганский,Славянская площадь,2/5с1,Китай-город
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/304307264/,Москва,rent,flat,5,8,4,156.0,1000000,0,Хамовники,переулок Хилков,1,Парк Культуры
One Click Property,real_estate_agent,https://www.cian.ru/rent/flat/304330858/,Москва,rent,flat,19,21,5,270.0,650000,0,Пресненский,Большой Тишинский переулок,10С1,Баррикадная
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305958625/,Москва,rent,flat,16,25,3,104.0,500000,0,Пресненский,Зоологическая ,22,Баррикадная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306168500/,Москва,rent,flat,21,22,5,315.0,750000,0,Хорошево-Мневники, Демьяна Бедного,4К2,Народное Ополчение
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307569351/,Москва,rent,flat,3,7,3,150.0,500000,0,Замоскворечье,Садовническая ,80,Павелецкая
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/rent/flat/297758989/,Москва,rent,flat,2,2,3,160.0,550000,0,Замоскворечье,Садовническая ,61С2,Павелецкая
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306602694/,Москва,rent,flat,1,3,3,163.0,800000,0,Хамовники,2-й Зачатьевский переулок,13,Кропоткинская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307366554/,Москва,rent,flat,4,5,5,156.0,1100000,0,Хамовники, Остоженка,7С1,Кропоткинская
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307484240/,Москва,rent,flat,10,13,3,193.0,680000,0,Тверской, Малая Дмитровка,24/2,Маяковская
Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/303471354/,Москва,rent,flat,2,5,3,82.5,440000,0,Таганский,Славянская площадь,2/5с1,Китай-город
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512091/,Москва,rent,flat,3,4,4,173.0,300000,0,Арбат,Староконюшенный переулок,36С2,Арбатская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305683693/,Москва,rent,flat,8,9,2,65.0,450000,0,Тверской,1-я Тверская-Ямская ,2,Маяковская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307090897/,Москва,rent,flat,2,5,3,76.0,350000,0,Тверской, Малая Дмитровка,8С1,Пушкинская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303469771/,Москва,rent,flat,6,10,5,247.0,700000,0,Пресненский, Климашкина,17С2,Улица 1905 года
АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307341637/,Москва,rent,flat,5,7,2,80.0,400000,0,Пресненский,переулок Брюсов,2/14С3,Библиотека им. Ленина
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307099355/,Москва,rent,flat,4,5,-1,218.0,550000,0,Мещанский,Варсонофьевский переулок,6,Кузнецкий мост
Любовь Черемисина,realtor,https://www.cian.ru/rent/flat/285075414/,Москва,rent,flat,6,27,3,80.63,350000,0,Беговой,Верхняя ,20к1,Белорусская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306110276/,Москва,rent,flat,5,8,3,156.0,1000000,0,Хамовники,переулок Хилков,1,Парк Культуры
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305151652/,Москва,rent,flat,9,11,4,156.0,450000,0,Тверской,Страстной бульвар,10к1,Пушкинская
Webster,real_estate_agent,https://www.cian.ru/rent/flat/305785719/,Москва,rent,flat,3,11,3,64.0,400000,0,Хамовники, Ефремова,10к2,Спортивная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306273462/,Москва,rent,flat,16,25,3,106.0,500000,0,Пресненский,Зоологическая ,22,Баррикадная
Urban Heights Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/304623842/,Москва,rent,flat,37,69,3,73.0,360000,0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити
